index,rank,title,gross,theaters,total_gross,year,distributor,gender,woc,director_name,,,
698,99,Argo,"$27,304,583 ","3,247","$136,025,503 ",2013,Warner Bros.,Male,,,,,
703,4,The Lego Movie,"$257,760,692 ","3,890","$257,760,692 ",2014,Warner Bros.,Male,,,,,
710,11,Godzilla,"$200,676,069 ","3,952","$200,676,069 ",2014,Warner Bros.,Male,,,,,
713,14,The Hobbit: The Battle of the Five Armies,"$189,549,326 ","3,875","$255,119,788 ",2014,Warner Bros.,Male,,,,,
726,27,300: Rise of an Empire,"$106,580,051 ","3,490","$106,580,051 ",2014,Warner Bros.,Male,,,,,
730,31,Edge of Tomorrow,"$100,206,256 ","3,505","$100,206,256 ",2014,Warner Bros.,Male,,,,,
735,36,Tammy,"$84,525,432 ","3,465","$84,525,432 ",2014,Warner Bros.,Male,,,,,
736,37,Annabelle,"$84,273,813 ","3,215","$84,273,813 ",2014,Warner Bros.,Male,,,,,
757,58,The Hobbit: The Desolation of Smaug,"$56,824,777 ","3,928","$258,366,855 ",2014,Warner Bros.,Male,,,,,
762,63,Horrible Bosses 2,"$51,745,425 ","3,400","$54,445,357 ",2014,Warner Bros.,Male,,,,,
767,68,If I Stay,"$50,474,843 ","3,157","$50,474,843 ",2014,Warner Bros.,Male,,,,,
770,71,Into the Storm,"$47,602,194 ","3,434","$47,602,194 ",2014,Warner Bros.,Male,,,,,
771,72,Jersey Boys,"$47,047,013 ","2,905","$47,047,013 ",2014,Warner Bros.,Male,,,,,
772,73,The Judge,"$47,003,241 ","3,003","$47,119,388 ",2014,Warner Bros.,Male,,,,,
773,74,Blended,"$46,294,610 ","3,555","$46,294,610 ",2014,Warner Bros.,Male,,,,,
779,80,Dolphin Tale 2,"$42,024,533 ","3,656","$42,024,533 ",2014,Warner Bros.,Male,,,,,
787,88,This Is Where I Leave You,"$34,296,320 ","2,868","$34,296,320 ",2014,Warner Bros.,Male,,,,,
805,6,American Sniper,"$348,797,073 ","3,885","$350,126,372 ",2015,Warner Bros.,Male,,,,,
819,20,San Andreas,"$155,190,832 ","3,812","$155,190,832 ",2015,Warner Bros.,Male,,,,,
820,21,Mad Max: Fury Road,"$153,636,354 ","3,722","$153,636,354 ",2015,Warner Bros.,Male,,,,,
827,28,Creed,"$99,385,165 ","3,502","$109,767,581 ",2015,Warner Bros.,Male,,,,,
829,30,Get Hard,"$90,411,453 ","3,212","$90,411,453 ",2015,Warner Bros.,Male,,,,,
837,38,The Intern,"$75,574,886 ","3,320","$75,764,672 ",2015,Warner Bros.,Male,,,,,
842,43,Magic Mike XXL,"$66,013,057 ","3,376","$66,013,057 ",2015,Warner Bros.,Male,,,,,
843,44,The Hobbit: The Battle of the Five Armies,"$65,570,462 ","3,875","$255,119,788 ",2015,Warner Bros.,Male,,,,,
848,49,Black Mass,"$62,575,678 ","3,188","$62,575,678 ",2015,Warner Bros.,Male,,,,,
849,50,Vacation,"$58,884,188 ","3,430","$58,884,188 ",2015,Warner Bros.,Male,,,,,
853,54,Focus,"$53,862,963 ","3,323","$53,862,963 ",2015,Warner Bros.,Male,,,,,
860,61,Jupiter Ascending,"$47,387,723 ","3,181","$47,387,723 ",2015,Warner Bros.,Male,,,,,
862,63,The Man from U.N.C.L.E.,"$45,445,109 ","3,673","$45,445,109 ",2015,Warner Bros.,Male,,,,,
868,69,Max,"$42,656,255 ","2,870","$42,656,255 ",2015,Warner Bros.,Male,,,,,
873,74,Pan,"$35,057,457 ","3,515","$35,088,320 ",2015,Warner Bros.,Male,,,,,
874,75,Hot Pursuit,"$34,580,201 ","3,037","$34,580,201 ",2015,Warner Bros.,Male,,,,,
879,80,Entourage,"$32,363,404 ","3,108","$32,363,404 ",2015,Warner Bros.,Male,,,,,
891,92,Run All Night,"$26,461,644 ","3,171","$26,461,644 ",2015,Warner Bros.,Male,,,,,
898,99,In the Heart of the Sea,"$23,063,385 ","3,103","$25,020,758 ",2015,Warner Bros.,Male,,,,,
899,100,The Gallows,"$22,764,410 ","2,720","$22,764,410 ",2015,Warner Bros.,Male,,,,,
907,8,Batman v Superman: Dawn of Justice,"$330,360,194 ","4,256","$330,360,194 ",2016,Warner Bros.,Male,,,,,
908,9,Suicide Squad,"$325,100,054 ","4,255","$325,100,054 ",2016,Warner Bros.,Male,,,,,
911,12,Fantastic Beasts and Where to Find Them,"$222,675,573 ","4,144","$234,037,575 ",2016,Warner Bros.,Male,,,,,
921,22,Central Intelligence,"$127,440,871 ","3,508","$127,440,871 ",2016,Warner Bros.,Male,,,,,
922,23,The Legend of Tarzan,"$126,643,061 ","3,591","$126,643,061 ",2016,Warner Bros.,Male,,,,,
923,24,Sully,"$124,976,335 ","3,955","$125,070,033 ",2016,Warner Bros.,Male,,,,,
927,28,The Conjuring 2,"$102,470,008 ","3,356","$102,470,008 ",2016,Warner Bros.,Male,,,,,
934,35,The Accountant,"$85,856,696 ","3,402","$86,260,045 ",2016,Warner Bros.,Male,,,,,
942,43,Storks,"$72,414,850 ","3,922","$72,679,278 ",2016,Warner Bros.,Male,,,,,
944,45,Lights Out,"$67,268,835 ","2,835","$67,268,835 ",2016,Warner Bros.,Male,,,,,
960,61,Barbershop: The Next Cut,"$54,030,051 ","2,676","$54,030,051 ",2016,Warner Bros.,Male,,,,,
966,67,How to Be Single,"$46,843,513 ","3,357","$46,843,513 ",2016,Warner Bros.,Male,,,,,
969,70,War Dogs,"$43,034,523 ","3,258","$43,034,523 ",2016,Warner Bros.,Male,,,,,
978,79,The Nice Guys,"$36,261,763 ","2,865","$36,261,763 ",2016,Warner Bros.,Male,,,,,
1005,6,It,"$327,481,748 ","4,148","$327,481,748 ",2017,Warner Bros.,Male,,,,,
1010,11,Justice League,"$225,546,295 ","4,051","$229,024,295 ",2017,Warner Bros.,Male,,,,,
1011,12,Dunkirk,"$188,045,546 ","4,014","$188,045,546 ",2017,Warner Bros.,Male,,,,,
1013,14,The Lego Batman Movie,"$175,750,384 ","4,088","$175,750,384 ",2017,Warner Bros.,Male,,,,,
1018,19,Kong: Skull Island,"$168,052,812 ","3,846","$168,052,812 ",2017,Warner Bros.,Male,,,,,
1031,32,Annabelle: Creation,"$102,092,201 ","3,565","$102,092,201 ",2017,Warner Bros.,Male,,,,,
1036,37,Blade Runner 2049,"$91,654,512 ","4,058","$92,054,159 ",2017,Warner Bros.,Male,,,,,
1046,47,The Lego Ninjago Movie,"$59,281,555 ","4,047","$59,281,555 ",2017,Warner Bros.,Male,,,,,
1060,61,Going in Style,"$45,018,541 ","3,076","$45,018,541 ",2017,Warner Bros.,Male,,,,,
1070,71,King Arthur: Legend of the Sword,"$39,175,066 ","3,702","$39,175,066 ",2017,Warner Bros.,Male,,,,,
1076,77,Geostorm,"$33,578,782 ","3,246","$33,700,160 ",2017,Warner Bros.,Male,,,,,
1078,79,Fist Fight,"$32,187,017 ","3,185","$32,187,017 ",2017,Warner Bros.,Male,,,,,
1093,94,The House,"$25,584,504 ","3,134","$25,584,504 ",2017,Warner Bros.,Male,,,,,
1111,12,A Star Is Born,"$201,157,885 ","3,904","$215,288,866 ",2018,Warner Bros.,Male,,,,,
1112,13,Aquaman,"$199,059,824 ","4,184","$335,061,807 ",2018,Warner Bros.,Male,,,,,
1116,17,Crazy Rich Asians,"$174,039,071 ","3,865","$174,532,921 ",2018,Warner Bros.,Male,,,,,
1119,20,Fantastic Beasts: The Crimes of Grindelwald,"$156,781,859 ","4,163","$159,555,901 ",2018,Warner Bros.,Male,,,,,
1120,21,The Meg,"$145,443,742 ","4,118","$145,443,742 ",2018,Warner Bros.,Male,,,,,
1121,22,Ocean's Eight,"$140,218,711 ","4,145","$140,218,711 ",2018,Warner Bros.,Male,,,,,
1122,23,Ready Player One,"$137,690,172 ","4,234","$137,690,172 ",2018,Warner Bros.,Male,,,,,
1125,26,The Nun,"$117,450,119 ","3,876","$117,450,119 ",2018,Warner Bros.,Male,,,,,
1132,33,Rampage,"$101,028,233 ","4,115","$101,028,233 ",2018,Warner Bros.,Male,,,,,
1137,38,Smallfoot,"$82,976,621 ","4,131","$83,240,103 ",2018,Warner Bros.,Male,,,,,
1142,43,Game Night,"$69,179,066 ","3,502","$69,179,066 ",2018,Warner Bros.,Male,,,,,
1148,49,The Mule,"$64,720,334 ","3,329","$103,804,407 ",2018,Warner Bros.,Male,,,,,
1151,52,Tomb Raider,"$58,250,803 ","3,854","$58,250,803 ",2018,Warner Bros.,Male,,,,,
1153,54,Tag,"$54,730,625 ","3,382","$54,730,625 ",2018,Warner Bros.,Male,,,,,
1156,57,Life of the Party,"$53,059,911 ","3,656","$53,059,911 ",2018,Warner Bros.,Male,,,,,
1166,67,12 Strong,"$45,819,713 ","3,018","$45,819,713 ",2018,Warner Bros.,Male,,,,,
1176,77,Paddington 2,"$40,891,591 ","3,702","$40,891,591 ",2018,Warner Bros.,Male,,,,,
1180,81,The 15:17 to Paris,"$36,276,286 ","3,042","$36,276,286 ",2018,Warner Bros.,Male,,,,,
1197,98,Teen Titans GO! to the Movies,"$29,790,236 ","3,188","$29,790,236 ",2018,Warner Bros.,Male,,,,,
1208,9,Joker,"$333,772,511 ","4,374","$335,451,311 ",2019,Warner Bros.,Male,,,,,
1209,10,It Chapter Two,"$211,593,228 ","4,570","$211,593,228 ",2019,Warner Bros.,Male,,,,,
1216,17,Pokémon Detective Pikachu,"$144,105,346 ","4,248","$144,105,346 ",2019,Warner Bros.,Male,,,,,
1218,19,Shazam!,"$140,371,656 ","4,306","$140,371,656 ",2019,Warner Bros.,Male,,,,,
1219,20,Aquaman,"$136,001,983 ","4,184","$335,061,807 ",2019,Warner Bros.,Male,,,,,
1224,25,Godzilla: King of the Monsters,"$110,500,138 ","4,108","$110,500,138 ",2019,Warner Bros.,Male,,,,,
1227,28,The Lego Movie 2: The Second Part,"$105,806,508 ","4,303","$105,806,508 ",2019,Warner Bros.,Male,,,,1,
1236,37,Annabelle Comes Home,"$74,152,591 ","3,613","$74,152,591 ",2019,Warner Bros.,Male,,,,1,
1251,52,The Curse of la Llorona,"$54,733,739 ","3,372","$54,733,739 ",2019,Warner Bros.,Male,,,,1,
1256,57,Isn't It Romantic,"$48,791,187 ","3,444","$48,791,187 ",2019,Warner Bros.,Male,,,,,
1269,70,The Mule,"$39,084,073 ","3,329","$103,804,407 ",2019,Warner Bros.,Male,,,,,
1277,78,Doctor Sleep,"$31,543,097 ","3,855","$31,581,712 ",2019,Warner Bros.,Male,,,,,
